date,prices $,from_country,to_country,departure_date,return_date
2023-09-10,40.0,AQP,LIM,2023-07-20,2023-07-23
2023-09-11,35.0,AQP,LIM,2023-07-20,2023-07-23
2023-09-12,35.0,AQP,LIM,2023-07-20,2023-07-23
2023-09-13,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-09-14,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-09-15,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-09-16,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-09-17,40.0,AQP,LIM,2023-07-20,2023-07-23
2023-09-18,40.0,AQP,LIM,2023-07-20,2023-07-23
2023-09-19,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-09-20,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-09-21,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-09-22,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-09-23,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-09-24,35.0,AQP,LIM,2023-07-20,2023-07-23
2023-09-25,35.0,AQP,LIM,2023-07-20,2023-07-23
2023-09-26,35.0,AQP,LIM,2023-07-20,2023-07-23
2023-09-27,40.0,AQP,LIM,2023-07-20,2023-07-23
2023-09-28,46.0,AQP,LIM,2023-07-20,2023-07-23
2023-09-29,145.0,AQP,LIM,2023-07-20,2023-07-23
2023-09-30,145.0,AQP,LIM,2023-07-20,2023-07-23
2023-10-01,145.0,AQP,LIM,2023-07-20,2023-07-23
2023-10-02,35.0,AQP,LIM,2023-07-20,2023-07-23
2023-10-03,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-10-04,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-10-05,28.0,AQP,LIM,2023-07-20,2023-07-23
2023-10-06,32.0,AQP,LIM,2023-07-20,2023-07-23
2023-10-07,28.0,AQP,LIM,2023-07-20,2023-07-23
2023-10-08,46.0,AQP,LIM,2023-07-20,2023-07-23
2023-10-09,52.0,AQP,LIM,2023-07-20,2023-07-23
2023-10-10,30.0,AQP,LIM,2023-07-20,2023-07-23
2023-10-11,35.0,AQP,LIM,2023-07-20,2023-07-23
2023-10-12,30.0,AQP,LIM,2023-07-20,2023-07-23
2023-10-13,35.0,AQP,LIM,2023-07-20,2023-07-23
2023-10-14,35.0,AQP,LIM,2023-07-20,2023-07-23
2023-10-15,35.0,AQP,LIM,2023-07-20,2023-07-23
2023-10-16,32.0,AQP,LIM,2023-07-20,2023-07-23
2023-10-17,28.0,AQP,LIM,2023-07-20,2023-07-23
2023-10-18,30.0,AQP,LIM,2023-07-20,2023-07-23
2023-10-19,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-10-20,30.0,AQP,LIM,2023-07-20,2023-07-23
2023-10-21,35.0,AQP,LIM,2023-07-20,2023-07-23
2023-10-22,46.0,AQP,LIM,2023-07-20,2023-07-23
2023-10-23,30.0,AQP,LIM,2023-07-20,2023-07-23
2023-10-24,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-10-25,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-10-26,28.0,AQP,LIM,2023-07-20,2023-07-23
2023-10-27,32.0,AQP,LIM,2023-07-20,2023-07-23
2023-10-28,32.0,AQP,LIM,2023-07-20,2023-07-23
2023-10-29,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-10-30,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-10-31,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-11-01,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-11-02,30.0,AQP,LIM,2023-07-20,2023-07-23
2023-11-03,28.0,AQP,LIM,2023-07-20,2023-07-23
2023-11-04,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-11-05,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-11-06,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-11-07,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-11-08,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-11-09,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-11-10,17.0,AQP,LIM,2023-07-20,2023-07-23
